citation_number,citation
1,"Ewing, R. G., Waltman, M. J., Atkinson, D. A., Grate, J. W., & Hotchkiss, P. J. (2013). The vapor pressures of explosives. TrAC Trends in Analytical Chemistry, 42, 35-48."
2,https://webbook.nist.gov/chemistry
3,"Brady, J. E., Smith, J. L., Hart, C. E., & Oxley, J. (2012). Estimating Ambient Vapor Pressures of Low Volatility Explosives by Rising?Temperature Thermogravimetry. Propellants, Explosives, Pyrotechnics, 37(2), 215-222."
4,"Widegren, J. A., & Bruno, T. J. (2010). Gas saturation vapor pressure measurements of mononitrotoluene isomers from (283.15 to 313.15) K. Journal of Chemical & Engineering Data, 55(1), 159-164."
5,"Aernecke, M. J., Mendum, T., Geurtsen, G., Ostrinskaya, A., & Kunz, R. R. (2015). Vapor pressure of hexamethylene triperoxide diamine (HMTD) estimated using secondary electrospray ionization mass spectrometry. The Journal of Physical Chemistry A, 119(47), 11514-11522."
6,"Cuddy, M. F., Poda, A. R., & Chappell, M. A. (2014). Estimations of Vapor Pressures by Thermogravimetric Analysis of the Insensitive Munitions IMX?101, IMX?104, and Individual Components. Propellants, Explosives, Pyrotechnics, 39(2), 236-242."
7,"Gorn, M. V., Monogarov, K. A., Dalinger, I. L., Melnikov, I. N., Kiselev, V. G., & Muravyev, N. V. (2020). Pressure DSC for energetic materials. Part 2. Switching between evaporation and thermal decomposition of 3, 5-dinitropyrazole. Thermochimica Acta, 690, 178697."
8,"Liu, R., Zhang, T., Zhou, Z., & Yang, L. (2014). Volatilization interference in thermal analysis and kinetics of low-melting organic nitro compounds. RSC Advances, 4(19), 9810-9818."
9,"Rogers, R. N., & Dauh, G. W. (1973). Scanning calorimetric determination of vapor-phase kinetics data. Analytical chemistry, 45(3), 596-600."
10,"Félix-Rivera, H., Ramírez-Cedeño, M. L., Sánchez-Cuprill, R. A., & Hernández-Rivera, S. P. (2011). Triacetone triperoxide thermogravimetric study of vapor pressure and enthalpy of sublimation in 303–338 K temperature range. Thermochimica acta, 514(1-2), 37-43."
11,"Liu, R., Zhang, T., Liu, Y., Yang, L., & Zhou, Z. (2013). Vaporation characteristics of low-melting nitrocompounds by isothermal thermogravimetry. Journal of thermal analysis and calorimetry, 112(3), 1523-1532."
12,"Štejfa, V., Kadlecová, K., R?ži?ka, K., & Fulem, M. (2021). Vapor pressure and thermophysical properties of explosive taggants. Chemical Thermodynamics and Thermal Analysis, 3, 100020."
13,"R?ži?ka, K., Fulem, M., Mahnel, T., & ?ervinka, C. (2015). Recommended vapor pressures for aniline, nitromethane, 2-aminoethanol, and 1-methyl-2-pyrrolidone. Fluid Phase Equilibria, 406, 34-46."
