abbr,name,Tmin [C],Tmax [C],mp [C],A [log10(atm)],B [K],C [K],SE [atm],ref,data_source,data_num,formula,IUPAC,CAS,smiles,phase,Tmid [C],P@25 [log10(atm)],P@100 [log10(atm)],P@200 [log10(atm)],P@500 [log10(atm)],P@min [log10(atm)],P@max [log10(atm)],P@mid [log10(atm)],data_type,P25_MAD,P25_mean,P25_SD,P25_median,num_valid,num_outliers
"2,4-DNT","2,4-Dinitrotoluene",44.85,64.85,69.85,10.21847657,4972.237523,0.0,,F�lix-Rivera 2011,F�lix-Rivera 2011,10,C7H6N2O4,"1-methyl-2,4-dinitrobenzene",121-14-2,O=N(=O)C1=CC=C(C(=C1)N(=O)=O)C,solid,54.849999999999994,-6.45848979927721,-3.1065603400897768,-0.29032090014688805,3.7873344591547564,-5.417490483459119,-4.492285332366864,-4.940784170853657,valid,0.04619783053077242,-6.459055665708203,0.08582237605825017,-6.47180233717005,5,1
"2,4-DNT","2,4-Dinitrotoluene",-3.0,42.0,70.0,10.28,4948.0,0.0,,Freedman 2008 [55],Ewing 2013,1,C7H6N2O4,"1-methyl-2,4-dinitrobenzene",121-14-2,O=N(=O)C1=CC=C(C(=C1)N(=O)=O)C,solid,19.5,-6.315673318799265,-2.9800830765107875,-0.17757159463172556,3.8802069456121053,-8.035750508976497,-5.42046009836586,-6.627568768153084,valid,0.04619783053077242,-6.459055665708203,0.08582237605825017,-6.47180233717005,5,1
"2,4-DNT","2,4-Dinitrotoluene",59.0,69.0,70.0,10.71,5129.0,0.0,,Lenchitz 1970 [51],Ewing 2013,1,C7H6N2O4,"1-methyl-2,4-dinitrobenzene",121-14-2,O=N(=O)C1=CC=C(C(=C1)N(=O)=O)C,solid,64.0,-6.492750293476437,-3.0351427040064323,-0.13011412871182415,4.076099721916834,-4.731818455517086,-4.280501242145258,-4.502813287854071,valid,0.04619783053077242,-6.459055665708203,0.08582237605825017,-6.47180233717005,5,1
"2,4-DNT","2,4-Dinitrotoluene",200.0,299.0,70.0,5.14,3039.0,0.0,,Maksimov 1968 [25],Ewing 2013,1,C7H6N2O4,"1-methyl-2,4-dinitrobenzene",121-14-2,O=N(=O)C1=CC=C(C(=C1)N(=O)=O)C,liquid,249.5,-5.052855944994131,-3.0041779445263304,-1.282910282151538,1.209326780055616,-1.282910282151538,-0.17154417547845924,-0.6745986798048413,valid,0.37813013583766564,-5.430986080831797,0.5347567664436075,-5.430986080831797,2,0
"2,4-DNT","2,4-Dinitrotoluene",81.0,165.0,70.0,6.48,3664.0,0.0,,Molard 1958 [66],Ewing 2013,1,C7H6N2O4,"1-methyl-2,4-dinitrobenzene",121-14-2,O=N(=O)C1=CC=C(C(=C1)N(=O)=O)C,liquid,123.0,-5.809116216669462,-3.339107597480906,-1.2638444467927714,1.7409454827653112,-3.8658986305237892,-1.8824329567499714,-2.769021835163448,valid,0.37813013583766564,-5.430986080831797,0.5347567664436075,-5.430986080831797,2,0
"2,4-DNT","2,4-Dinitrotoluene",4.0,71.0,70.0,10.2,4992.0,0.0,,Pella 1976 [44],Ewing 2013,1,C7H6N2O4,"1-methyl-2,4-dinitrobenzene",121-14-2,O=N(=O)C1=CC=C(C(=C1)N(=O)=O)C,solid,37.5,-6.543250041925209,-3.1779981240787905,-0.3505653598224683,3.743296902282868,-7.8119069096157325,-4.305302920238271,-5.869531627233222,valid,0.04619783053077242,-6.459055665708203,0.08582237605825017,-6.47180233717005,5,1
"2,4-DNT","2,4-Dinitrotoluene",32.0,73.0,70.0,10.02,4921.0,0.0,,Rittfeldt 2001 [33],Ewing 2013,1,C7H6N2O4,"1-methyl-2,4-dinitrobenzene",121-14-2,O=N(=O)C1=CC=C(C(=C1)N(=O)=O)C,solid,52.5,-6.485114875062891,-3.16772611550315,-0.38050723871922365,3.655129017655047,-6.106495166311653,-4.196380182002024,-5.091315829878706,valid,0.04619783053077242,-6.459055665708203,0.08582237605825017,-6.47180233717005,5,1
"2,4-DNT","2,4-Dinitrotoluene",27.0,73.0,70.0,8.25,4309.0,0.0,,Rittfeldt 2001 [33],Ewing 2013,1,C7H6N2O4,"1-methyl-2,4-dinitrobenzene",121-14-2,O=N(=O)C1=CC=C(C(=C1)N(=O)=O)C,solid,50.0,-6.202456817038405,-3.297634999330029,-0.8570485047025258,2.6766959839617153,-6.106155255705481,-4.198360537339305,-5.084364846046729,outlier,0.04619783053077242,-6.459055665708203,0.08582237605825017,-6.47180233717005,5,1
"2,6-DNT","2,6-Dinitrotoluene",2.0,52.0,70.0,11.47,5203.0,0.0,,Freedman 2008 [55],Ewing 2013,1,C7H6N2O4,"2-methyl-1,3-dinitrobenzene",606-20-2,O=N(=O)C1=CC=CC(=C1C)N(=O)=O,solid,27.0,-5.980947509642798,-2.473454374916253,0.47348726619465253,4.740387376317662,-7.43968562602217,-4.531845302168231,-5.864666000333168,valid,0.07267147409022368,-6.053618983733021,0.1027729842560393,-6.053618983733021,2,0
"2,6-DNT","2,6-Dinitrotoluene",71.0,153.0,70.0,6.52,3586.0,0.0,,Molard 1958 [66],Ewing 2013,1,C7H6N2O4,"2-methyl-1,3-dinitrobenzene",606-20-2,O=N(=O)C1=CC=CC(=C1C)N(=O)=O,liquid,112.0,-5.507502934764382,-3.090076376792176,-1.0589918630455468,1.8818314686671407,-3.8998750544820577,-1.8948773905901692,-2.7906581851226804,valid,,,,,1,0
"2,6-DNT","2,6-Dinitrotoluene",4.0,50.0,70.0,11.11,5139.0,0.0,,Pella 1976 [44],Ewing 2013,1,C7H6N2O4,"2-methyl-1,3-dinitrobenzene",606-20-2,O=N(=O)C1=CC=CC(=C1C)N(=O)=O,solid,27.0,-6.126290457823245,-2.661941578453707,0.24875092465391369,4.463165621160188,-7.432305610680139,-4.792831502398268,-6.011439280359824,valid,0.07267147409022368,-6.053618983733021,0.1027729842560393,-6.053618983733021,2,0
2AE,2-aminoethanol,65.45,170.95,10.31,4.28680327,1408.873,-116.093,,Matthews 1950,NIST,2,C2H7NO,2-aminoethanol,141-43-5,OCCN,liquid,118.19999999999999,-3.451833530562463,-1.1939772572760523,0.34101030137034094,2.1425859494326827,-2.0450110100001817,-0.00844957521367018,-0.8315879062461997,valid,0.10621903481912609,-3.345614495743337,0.15021639962338812,-3.345614495743337,2,0
2AE,2-aminoethanol,-14.98,10.0,10.3,11.81723725,5031.010743,38.72190213,0.005452509,Ruzika 2015,Ruzika 2015,13,C2H7NO,2-aminoethanol,141-43-5,OCCN,solid,-2.49,-3.117254796352137,-0.39775172346984355,1.9885853508334872,5.620433628885871,-5.128360480708979,-3.8132378231800086,-4.444252864201983,valid,,,,,1,0
2AE,2-aminoethanol,12.5,30.01,10.3,5.99630133,2400.286359,-38.25771322,0.001200461,Ruzika 2015,Ruzika 2015,13,C2H7NO,2-aminoethanol,141-43-5,OCCN,liquid,21.255000000000003,-3.239395460924211,-1.1710371061247322,0.4770349921855539,2.730126950191114,-3.7060478832336248,-3.0647241076302407,-3.3744259151476754,valid,0.10621903481912609,-3.345614495743337,0.15021639962338812,-3.345614495743337,2,0
2-MNT,2-Nitrotoluene,115.0,175.0,-2.15,4.44770327,1906.532,-65.441,,Aim 1994,Aim 1994,32,C7H7NO2,1-methyl-2-nitrobenzene,88-72-2,O=N(=O)C=1C=CC=CC1C,liquid,145.0,-3.7450696781885107,-1.7481896028116513,-0.22850451545482287,1.753754203363854,-1.460195177207857,-0.5339721021495976,-0.9576932466752206,valid,0.07147259757660329,-3.6676178741593604,0.07812544034487466,-3.687442846438356,10,2
2-MNT,2-Nitrotoluene,50.0,220.0,-2.15,5.09203327,2513.0,0.0,,Berliner 1926,Aim 1994,32,C7H7NO2,1-methyl-2-nitrobenzene,88-72-2,O=N(=O)C=1C=CC=CC1C,liquid,135.0,-3.3366100303521726,-1.642523878599759,-0.2191788191894748,1.8416937498551378,-2.684541076278818,-0.0037793630731020045,-1.065016834128385,outlier,0.07147259757660329,-3.6676178741593604,0.07812544034487466,-3.687442846438356,10,2
2-MNT,2-Nitrotoluene,129.31,222.15,-2.15,3.28735327,1130.679,-151.524,,Dreisbach 1949,NIST,2,C7H7NO2,1-methyl-2-nitrobenzene,88-72-2,O=N(=O)C=1C=CC=CC1C,liquid,175.73000000000002,-4.423959866824303,-1.8143902077508058,-0.228155426436234,1.4684476901175625,-1.2184928421560879,-0.001645962058085093,-0.5150889205056566,outlier,0.07147259757660329,-3.6676178741593604,0.07812544034487466,-3.687442846438356,10,2
2-MNT,2-Nitrotoluene,129.0,222.0,-2.15,4.61372327,2086.1,-43.15,,Dreisbach 1949,Aim 1994,32,C7H7NO2,1-methyl-2-nitrobenzene,88-72-2,O=N(=O)C=1C=CC=CC1C,liquid,175.5,-3.5670610437254906,-1.707791881515151,-0.23767207883720864,1.7560520371232884,-1.1971402397493032,-0.0015422167256629038,-0.5307896769790377,valid,0.07147259757660329,-3.6676178741593604,0.07812544034487466,-3.687442846438356,10,2
2-MNT,2-Nitrotoluene,129.0,222.0,-2.15,4.31471327,1827.66,-71.63,,Dykyj 1979,Aim 1994,32,C7H7NO2,1-methyl-2-nitrobenzene,88-72-2,O=N(=O)C=1C=CC=CC1C,liquid,175.5,-3.753713358995233,-1.7467751884770495,-0.23713968875672453,1.7094276045877526,-1.2149369780939132,-0.0006909612051382297,-0.5329340696636784,valid,0.07147259757660329,-3.6676178741593604,0.07812544034487466,-3.687442846438356,10,2
2-MNT,2-Nitrotoluene,138.0,222.0,-2.15,5.40988327,2677.4,0.0,,Hara 1976,Aim 1994,32,C7H7NO2,1-methyl-2-nitrobenzene,88-72-2,O=N(=O)C=1C=CC=CC1C,liquid,180.0,-3.5701603322136517,-1.7652473745129313,-0.2487873418567057,1.9469071334158956,-1.1020953266192395,0.0026329418166204377,-0.4985355758567813,valid,0.07147259757660329,-3.6676178741593604,0.07812544034487466,-3.687442846438356,10,2
2-MNT,2-Nitrotoluene,82.0,119.0,-2.15,5.99018327,2898.02,0.0,,Kahlbaum 1898,Aim 1994,32,C7H7NO2,1-methyl-2-nitrobenzene,88-72-2,O=N(=O)C=1C=CC=CC1C,liquid,100.5,-3.729823438032869,-1.7761841425686722,-0.13476653450174414,2.2418550025227963,-2.1698054671533162,-1.3998970564057123,-1.765791572767296,valid,0.07147259757660329,-3.6676178741593604,0.07812544034487466,-3.687442846438356,10,2
2-MNT,2-Nitrotoluene,114.0,220.0,-2.15,5.09638327,2380.18,-26.333,,Levin 1938,Aim 1994,32,C7H7NO2,1-methyl-2-nitrobenzene,88-72-2,O=N(=O)C=1C=CC=CC1C,liquid,167.0,-3.6601698521373196,-1.766544441156027,-0.23058504141160707,1.909283886884725,-1.5002571321983442,-0.002359920586461506,-0.6553862319779276,valid,0.07147259757660329,-3.6676178741593604,0.07812544034487466,-3.687442846438356,10,2
2-MNT,2-Nitrotoluene,90.0,223.0,-2.15,5.40838327,2689.06,0.0,,Salachijev 1973,Aim 1994,32,C7H7NO2,1-methyl-2-nitrobenzene,88-72-2,O=N(=O)C=1C=CC=CC1C,liquid,156.5,-3.6107681638420264,-1.7979948621184514,-0.2749306896322521,1.930325971933648,-1.9964356753393915,-0.011469597076489535,-0.8503389457570121,valid,0.07147259757660329,-3.6676178741593604,0.07812544034487466,-3.687442846438356,10,2
2-MNT,2-Nitrotoluene,7.68,88.84,-2.15,4.369483116,1872.171347,-67.32628871,0.001011278,Stejfa 2021,Stejfa 2021,12,C7H7NO2,1-methyl-2-nitrobenzene,88-72-2,O=N(=O)C=1C=CC=CC1C,liquid,48.260000000000005,-3.7413445651642636,-1.7522506733878913,-0.24377947787084953,1.7170200192611231,-4.399316900113295,-1.984103278482963,-2.9988418250001967,valid,0.07147259757660329,-3.6676178741593604,0.07812544034487466,-3.687442846438356,10,2
2-MNT,2-Nitrotoluene,50.0,222.0,-2.15,5.11265327,2448.83,-16.546,,"Stull 1947, Wichterle 1970",Aim 1994,32,C7H7NO2,1-methyl-2-nitrobenzene,88-72-2,O=N(=O)C=1C=CC=CC1C,liquid,136.0,-3.5833524685548506,-1.7544317879354132,-0.2504841532376414,1.8760460091343423,-2.8742940627158156,-0.003956704007738843,-1.1247513412622387,valid,0.07147259757660329,-3.6676178741593604,0.07812544034487466,-3.687442846438356,10,2
2-MNT,2-Nitrotoluene,10.0,40.0,-2.15,6.693228117,3103.128491,0.0,0.008511652,Widegreen 2010,Widegreen 2010,4,C7H7NO2,1-methyl-2-nitrobenzene,88-72-2,O=N(=O)C=1C=CC=CC1C,liquid,25.0,-3.7147158407393928,-1.6228069654065393,0.13478261134640146,2.679610460659057,-4.2660814044550595,-3.21617150299042,-3.7147158407393928,valid,0.07147259757660329,-3.6676178741593604,0.07812544034487466,-3.687442846438356,10,2
34-DNP,"3,4-dinitropyrazole",200.0,470.0,87.5,7.422092696,4751.181632,0.0,,Sinditskii 2017,Sinditskii 2017,33,C3H2N4O4,"4,5-dinitro-1H-pyrazole",,C1=NNC(=C1[N+](=O)[O-])[N+](=O)[O-],liquid,335.0,-8.513448581880262,-5.3105393072158655,-2.6195043281995147,1.276866501859148,-2.6195043281995147,1.0287917042755836,-0.39042334773920917,valid,,,,,1,0
35-DNP,"3,5-dinitropyrazole",111.46,168.3,168.3,11.01,5475.2,0.0,,Gorn 2020,Gorn 2020,7,C3H2N4O4,"3,5-dinitro-1H-pyrazole",,C1=C(NN=C1[N+](=O)[O-])[N+](=O)[O-],solid,139.88,-7.353910783162837,-3.6629197373710305,-0.561805981189897,3.9283211537217877,-3.225719300070203,-1.3927636198890028,-2.246179938503257,valid,,,,,1,0
35-DNP,"3,5-dinitropyrazole",226.85,351.85,168.3,8.2673,4247.4,0.0,,Gorn 2020,Gorn 2020,7,C3H2N4O4,"3,5-dinitro-1H-pyrazole",,C1=C(NN=C1[N+](=O)[O-])[N+](=O)[O-],liquid,289.35,-5.978549404662083,-3.1152539327348236,-0.7095572334354845,2.7736700446226488,-0.22749999999999915,1.4714600000000013,0.7163666666666675,valid,,,,,1,0
3-MNT,3-Nitrotoluene,124.0,179.0,15.44,4.49437327,1993.739,-61.629,,Aim 1994,Aim 1994,32,C7H7NO2,1-methyl-3-nitrobenzene,99-08-1,O=N(=O)C1=CC=CC(=C1)C,liquid,151.5,-3.9350642852276545,-1.90564149625974,-0.35043173387586624,1.6922929378664433,-1.4478449518102607,-0.6109578133476319,-0.9977029459764877,valid,0.14396941440962374,-3.7379239328213867,0.20016053256471886,-3.6876267447785662,8,0
3-MNT,3-Nitrotoluene,50.0,232.0,15.44,5.18471327,2618.2,0.0,,Berliner 1926,Aim 1994,32,C7H7NO2,1-methyl-3-nitrobenzene,99-08-1,O=N(=O)C1=CC=CC(=C1)C,liquid,141.0,-3.5967725592805646,-1.8317680377850731,-0.3488384577818877,1.7983070098952334,-2.9174064886260247,0.0016983239443728593,-1.1371507889158519,valid,0.14396941440962374,-3.7379239328213867,0.20016053256471886,-3.6876267447785662,8,0
